,accuracy,precision,recall,f1
153,0.7602739726027398,0.8056120110914632,0.7602739726027398,0.7588854825769586
154,0.8549222797927462,0.8706738604427164,0.8549222797927462,0.8533852006230798
155,0.7256637168141593,0.7556681790496416,0.7256637168141593,0.7244126652418328
156,0.8160535117056856,0.8552595114612613,0.8160535117056856,0.8144672830636616
157,0.8059071729957806,0.8196699796035604,0.8059071729957806,0.8044841874332221
159,0.8547717842323651,0.8626583558383683,0.8547717842323651,0.8541247632574768
160,0.7971698113207547,0.8097255094531656,0.7971698113207547,0.7944576710324607
162,0.7731958762886598,0.7986079195395394,0.7731958762886598,0.7708427115685738
163,0.9310344827586207,0.93849251804051,0.9310344827586207,0.9297040981045479
164,0.714859437751004,0.7439094061544697,0.714859437751004,0.7114027866940443
165,0.806060606060606,0.8183006535947713,0.806060606060606,0.802497255468327
166,0.8480392156862745,0.8732946825388608,0.8480392156862745,0.8479238317939448
167,0.8189655172413793,0.8337447065940714,0.8189655172413793,0.8125211526374316
168,0.6728110599078341,0.6877545393674426,0.6728110599078341,0.6695068682522141
169,0.827027027027027,0.8335085069968792,0.827027027027027,0.8263211951447246
171,0.8178294573643411,0.8377465623301018,0.8178294573643411,0.8080764194091411
172,0.6781609195402298,0.6925387900658551,0.6781609195402298,0.6729186789373907
173,0.8344370860927153,0.8509880963697626,0.8344370860927153,0.8278853548605577
174,0.6787564766839378,0.7073678786843616,0.6787564766839378,0.6738051408002838
176,0.7378048780487805,0.7771520803443329,0.7378048780487805,0.7401084182230641
177,0.8066298342541437,0.836625705978972,0.8066298342541437,0.8074163413117575
178,0.8445945945945946,0.8648813782597568,0.8445945945945946,0.8408365606011489
179,0.9226519337016574,0.9271784807696409,0.9226519337016574,0.9222962763415349
180,0.7407407407407407,0.755397945385377,0.7407407407407407,0.7376275490620466
181,0.6980392156862745,0.7143851211677423,0.6980392156862745,0.6948546845082751
182,0.825,0.8532186793353111,0.825,0.8220660583691655
183,0.8067632850241546,0.8190110325853117,0.8067632850241546,0.8043657414436006
184,0.9064327485380117,0.9149021201652779,0.9064327485380117,0.9068165354840402
185,0.7098765432098766,0.7219682134241521,0.7098765432098766,0.7016707615684801
186,0.7474226804123711,0.7709649062289097,0.7474226804123711,0.7414019340610091
187,0.7083333333333334,0.7336251204403729,0.7083333333333334,0.7009740447971515
191,0.821917808219178,0.8484989923808434,0.821917808219178,0.8224299332806904
193,0.8895348837209303,0.8947510868188917,0.8895348837209303,0.8890177045640568
194,0.7972972972972973,0.8130645614429398,0.7972972972972973,0.7947124107085171
195,0.7368421052631579,0.7593801156826367,0.7368421052631579,0.7325265076521462
196,0.7782426778242678,0.7961203629681157,0.7782426778242678,0.7757883039033455
197,0.8636363636363636,0.8831037206037207,0.8636363636363636,0.8601461266592886
198,0.8780487804878049,0.9018253547665314,0.8780487804878049,0.873071935692073
199,0.9041095890410958,0.920080419226857,0.9041095890410958,0.9018496624404696
200,0.775330396475771,0.7888966203270398,0.775330396475771,0.7727927552384394
201,0.8586387434554974,0.8767956746398384,0.8586387434554974,0.8563381383200234
202,0.8629441624365483,0.8914213197969544,0.8629441624365483,0.8607477631779151
205,0.8232323232323232,0.8314769314769315,0.8232323232323232,0.8226003989333488
206,0.8914027149321267,0.9061122463873887,0.8914027149321267,0.8897612558131551
207,0.8532608695652174,0.8741299081563869,0.8532608695652174,0.8529983362167397
209,0.7910447761194029,0.8117262978670228,0.7910447761194029,0.7886996651114508
210,0.8260869565217391,0.8495248159650334,0.8260869565217391,0.8257807754095261
212,0.9463087248322147,0.9526253454401895,0.9463087248322147,0.9464218127453256
213,0.673469387755102,0.6869087973432937,0.673469387755102,0.6676926168260295
